"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.025;0.3520552;-0.0115857777778;0.306176197531
0.05;0.3515064;-0.00167688888889;0.190792691358
0.075;0.3520552;0.00146346666667;0.0470545185185
0.1;0.3517808;-0.00213422222222;-0.00328602469136
0.125;0.3517808;-0.000609777777778;0.0149395555556
0.15;0.3517808;-0.000304888888889;0.00989195061728
0.175;0.3517808;0;0.000338765432099
0.2;0.3517808;-0.000304888888889;-0.00745283950617
0.225;0.3517808;-0.000609777777778;-0.00304888888889
0.25;0.3517808;-0.00182933333333;0.0396355555556
0.275;0.3515064;0.002744;0.0318439506173
0.3;0.3520552;0.00243911111111;-0.0619940740741
0.325;0.3517808;-0.002744;-0.0741896296296
0.35;0.3517808;-0.00365866666667;-0.00406518518519
0.375;0.3515064;-0.00152444444444;0.0315051851852
0.4;0.3517808;-0.000914666666667;0.0291338271605
0.425;0.3515064;-0.00182933333333;0.0765609876543
0.45;0.3515064;0.00335377777778;0.107727407407
0.475;0.3517808;0.00518311111111;0.0829975308642
0.5;0.3517808;0.00670755555556;0.075544691358
0.525;0.3520552;0.00945155555556;0.0521698765432
0.55;0.3523296;0.00975644444444;0.0281175308642
0.575;0.352604;0.00853688888889;0.0880790123457
0.6;0.352604;0.0128053333333;0.191402469136
0.625;0.3531528;0.0204275555556;0.209695802469
0.65;0.3537016;0.0256106666667;0.137538765432
0.675;0.3545248;0.0271351111111;0.0630103703704
0.7;0.3550736;0.02744;0.0433619753086
0.725;0.3558968;0.0280497777778;0.0813037037037
0.75;0.3564456;0.030184;0.168705185185
0.775;0.3572688;0.0375013333333;0.214438518519
0.8;0.3583664;0.0429893333333;0.18394962963
0.825;0.359464;0.0472577777778;0.130085925926
0.85;0.360836;0.0475626666667;0.134828641975
0.875;0.3616592;0.0536604444444;0.154138271605
0.9;0.36358;0.057624;0.10162962963
0.925;0.3646776;0.0573191111111;0.0982419753086
0.95;0.366324;0.0609777777778;0.144314074074
0.975;0.367696;0.0655511111111;0.159219753086
1;0.3696168;0.0701244444444;0.128392098765
1.025;0.3712632;0.0719537777778;0.0934992592593
1.05;0.373184;0.0746977777778;0.0708019753086
1.075;0.3751048;0.074088;0.10162962963
1.1;0.3767512;0.0783564444444;0.180561975309
1.125;0.3789464;0.0853688888889;0.178868148148
1.15;0.3811416;0.0884177777778;0.128053333333
1.175;0.3833368;0.0917715555556;0.0708019753087
1.2;0.3858064;0.0920764444444;0.0182933333333
1.225;0.3880016;0.090552;0.0450558024691
1.25;0.3901968;0.0936008888889;0.0985807407407
1.275;0.3926664;0.0972595555556;0.0955318518519
1.3;0.395136;0.098784;0.0741896296296
1.325;0.3976056;0.100003555556;0.0792711111111
1.35;0.4000752;0.103052444444;0.0779160493827
1.375;0.4028192;0.104272;0.0674143209877
1.4;0.4052888;0.105491555556;0.0894340740741
1.425;0.4080328;0.108845333333;0.111453827161
1.45;0.4107768;0.110979555556;0.136861234568
1.475;0.4135208;0.115552888889;0.15650962963
1.5;0.4165392;0.120126222222;0.121616790123
1.525;0.4195576;0.123175111111;0.0386192592593
1.55;0.4228504;0.121040888889;-0.0010162962963
1.575;0.4255944;0.119516444444;0.089095308642
1.6;0.4286128;0.125614222222;0.17751308642
1.625;0.4319056;0.131102222222;0.164978765432
1.65;0.4351984;0.135370666667;0.0870627160494
1.675;0.4387656;0.135675555556;0.00203259259259
1.7;0.4420584;0.133236444444;0.00745283950619
1.725;0.4453512;0.133846222222;0.095870617284
1.75;0.448644;0.138419555556;0.168366419753
1.775;0.4522112;0.145127111111;0.137538765432
1.8;0.4560528;0.146651555556;0.05488
1.825;0.45962;0.145432;0.0494597530864
1.85;0.4631872;0.148176;0.0829975308642
1.875;0.4670288;0.151224888889;0.0748671604938
1.9;0.4708704;0.15092;0.0965481481482
1.925;0.4744376;0.154883555556;0.15007308642
1.95;0.4785536;0.160981333333;0.116535308642
1.975;0.4826696;0.160981333333;0.0674143209877
2;0.4865112;0.163420444444;0.0504760493827
2.025;0.4909016;0.163725333333;0.0382804938272
2.05;0.4947432;0.163115555556;0.103662222222
2.075;0.4988592;0.169213333333;0.15176691358
2.1;0.5032496;0.173481777778;0.107388641975
2.125;0.50764;0.174701333333;0.05488
2.15;0.5120304;0.173786666667;0.0796098765432
2.175;0.5161464;0.178969777778;0.0999358024691
2.2;0.5210856;0.180494222222;0.0691081481482
2.225;0.5252016;0.181408888889;0.0748671604938
2.25;0.5301408;0.182933333333;0.119922962963
2.275;0.5342568;0.187506666667;0.157864691358
2.3;0.5394704;0.193604444444;0.0975644444445
2.325;0.5441352;0.192689777778;0.0257461728395
2.35;0.5490744;0.192689777778;0.030827654321
2.375;0.5537392;0.193299555556;0.0799486419753
2.4;0.5586784;0.196958222222;0.126020740741
2.425;0.5636176;0.199702222222;0.159558518519
2.45;0.5685568;0.206104888889;0.14533037037
2.475;0.5740448;0.208239111111;0.0779160493827
2.5;0.578984;0.209153777778;0.0369254320988
2.525;0.584472;0.210678222222;-0.0138893827161
2.55;0.5896856;0.206714666667;0.00440395061728
2.575;0.5946248;0.209153777778;0.0850301234568
2.6;0.6001128;0.212812444444;0.104339753086
2.625;0.6053264;0.214946666667;0.0955318518518
2.65;0.6108144;0.217995555556;0.0680918518519
2.675;0.6163024;0.218605333333;0.0362479012346
2.7;0.6217904;0.217690666667;0.0752059259259
2.725;0.627004;0.222873777778;0.0965481481481
2.75;0.6330408;0.224398222222;0.0552187654321
2.775;0.6382544;0.225008;0.0331990123457
2.8;0.6442912;0.225312888889;0.0365866666667
2.825;0.6495048;0.226227555556;0.0643654320988
2.85;0.6555416;0.229276444444;0.0680918518519
2.875;0.6610296;0.230191111111;0.058267654321
2.9;0.6670664;0.231105777778;0.0874014814815
2.925;0.6725544;0.23324;0.15650962963
2.95;0.6785912;0.240252444444;0.170737777778
2.975;0.684628;0.244520888889;0.0887565432099
3;0.6909392;0.244825777778;0.00372641975309
3.025;0.696976;0.241167111111;0.0372641975309
3.05;0.7027384;0.246045333333;0.0982419753086
3.075;0.709324;0.249399111111;0.05488
3.1;0.7153608;0.248179555556;0.0301501234568
3.125;0.721672;0.248789333333;0.0701244444444
3.15;0.7277088;0.252143111111;0.10162962963
3.175;0.7342944;0.255496888889;0.085707654321
3.2;0.7406056;0.255192;0.105694814815
3.225;0.7469168;0.259460444444;0.159558518518
3.25;0.7535024;0.265863111111;0.119922962963
3.275;0.7603624;0.267082666667;0.02744
3.3;0.766948;0.264948444444;0.0162607407408
3.325;0.7735336;0.265558222222;0.0880790123457
3.35;0.7801192;0.269826666667;0.14363654321
3.375;0.7869792;0.275924444444;0.0836750617284
3.4;0.7941136;0.274704888889;-0.00508148148149
3.425;0.8006992;0.273790222222;-0.0243911111111
3.45;0.8078336;0.271656;0.0301501234568
3.475;0.8141448;0.274704888889;0.115857777778
3.5;0.8215536;0.278973333333;0.147024197531
3.525;0.8281392;0.282022222222;0.165995061728
3.55;0.835548;0.288424888889;0.133134814815
3.575;0.8426824;0.289949333333;0.0606390123457
3.6;0.8500912;0.290254222222;0.0348928395062
3.625;0.8572256;0.289339555556;0.0880790123457
3.65;0.86436;0.295132444444;0.125681975309
3.675;0.8720432;0.298791111111;0.0552187654321
3.7;0.879452;0.297266666667;0.00440395061727
3.725;0.8868608;0.296961777778;0.0257461728395
3.75;0.8942696;0.297876444444;0.0745283950617
3.775;0.9016784;0.301535111111;0.0921441975309
3.8;0.9093616;0.304584;0.0348928395062
3.825;0.9170448;0.302754666667;-0.00271012345681
3.85;0.9244536;0.302449777778;0.0359091358025
3.875;0.9321368;0.303669333333;0.108743703704
3.9;0.9395456;0.308242666667;0.166672592593
3.925;0.9475032;0.314645333333;0.127037037037
3.95;0.9554608;0.314645333333;0.0762222222222
3.975;0.963144;0.317389333333;0.0572513580247
4;0.971376;0.317999111111;0.0277787654321
4.025;0.9790592;0.318304;0.0220197530863
4.05;0.9872912;0.318608888889;0.0342153086419
4.075;0.9949744;0.319523555556;0.0636879012345
4.1;1.0032064;0.322572444444;0.0647041975308
4.125;1.011164;0.323487111111;0.0396355555555
4.15;1.019396;0.324096888889;0.0233748148148
4.175;1.0273536;0.324401777778;0.0176158024691
4.2;1.0355856;0.325926222222;-0.00711407407408
4.225;1.0438176;0.322267555556;0.0311664197531
4.25;1.0515008;0.325621333333;0.125343209877
4.275;1.0600072;0.331719111111;0.109421234568
4.3;1.0682392;0.332938666667;0.0325214814815
4.325;1.0767456;0.331109333333;0.0267624691358
4.35;1.0847032;0.332024;0.0985807407407
4.375;1.0932096;0.337816888889;0.112470123457
4.4;1.101716;0.339646222222;0.0501372839506
4.425;1.1102224;0.339951111111;-0.00846913580245
4.45;1.1187288;0.339036444444;-0.0552187654321
4.475;1.1272352;0.335987555556;-0.0433619753086
4.5;1.1354672;0.335377777778;0.0396355555555
4.525;1.1439736;0.336597333333;0.191741234568
4.55;1.1522056;0.343609777778;0.374335802469
4.575;1.1609864;0.356415111111;0.465802469136
4.6;1.1697672;0.376232888889;0.210712098765
4.625;1.1804688;0.371964444444;-0.216132345679
4.65;1.1887008;0.354890666667;-0.270673580247
4.675;1.197756;0.352451555556;-0.0884177777778
4.7;1.2062624;0.353061333333;0.0321827160494
4.725;1.2153176;0.357939555556;0.0145669135802
4.75;1.2243728;0.355195555556;-0.0569125925926
4.775;1.2331536;0.350622222222;0.0233748148148
4.8;1.24166;0.354280888889;0.17107654321
4.825;1.2507152;0.363427555556;0.175480493827
4.85;1.2600448;0.365866666667;0.0724958024691
4.875;1.2691;0.364647111111;0.0372641975309
4.9;1.2781552;0.366781333333;0.037941728395
4.925;1.2874848;0.367391111111;0.0196483950617
4.95;1.29654;0.367696;0.00271012345678
4.975;1.3058696;0.367391111111;-0.00474271604939
5;1.3149248;0.367086222222;0.00948543209877
5.025;1.3242544;0.366171555556;0.0765609876544
5.05;1.3330352;0.371659555556;0.118229135803
5.075;1.3429136;0.375013333333;0.0633491358025
5.1;1.3519688;0.372574222222;0.0741896296296
5.125;1.3612984;0.377757333333;0.110437530864
5.15;1.3709024;0.381111111111;0.051492345679
5.175;1.3805064;0.379891555556;0.0020325925926
5.2;1.389836;0.379586666667;0.00846913580248
5.225;1.39944;0.381111111111;0.00440395061731
5.25;1.409044;0.378062222222;0.0623328395062
5.275;1.4180992;0.383550222222;0.136183703704
5.3;1.428252;0.387818666667;0.106033580247
5.325;1.4375816;0.389343111111;0.0521698765432
5.35;1.4477344;0.389648;0.0199871604939
5.375;1.457064;0.389648;0.0193096296297
5.4;1.4672168;0.390257777778;0.017277037037
5.425;1.4765464;0.391477333333;-0.0670755555556
5.45;1.4866992;0.393306666667;-0.424134320988
5.475;1.4965776;0.377452444444;-1.00748839506
5.5;1.5061816;0.338426666667;-1.31915259259
5.525;1.5138648;0.289644444444;-0.746300246914
5.55;1.5196272;0.282936888889;0.519327407407
5.575;1.5267616;0.325621333333;1.42179851852
5.6;1.5358168;0.376537777778;1.45906271605
5.625;1.546244;0.406721777778;1.0726668642
5.65;1.5563968;0.424405333333;0.774146765432
5.675;1.5670984;0.448491555556;0.364037333333
5.7;1.5794464;0.4489184;-0.208340740741
5.725;1.590148;0.429283555556;-0.489719308642
5.75;1.6003008;0.415868444444;-0.561131061728
