"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.05;0.2261056;-0.00518311111111;0.0274230617284
0.1;0.2258312;-0.00419222222222;0.0350791604938
0.15;0.2255568;-0.00201226666667;0.0397117777778
0.2;0.2255568;0.00106711111111;0.0239083703704
0.25;0.2258312;0.00121955555556;-0.00431079012346
0.3;0.2258312;-0.00106711111111;-0.00320133333333
0.35;0.2255568;-0.000609777777778;0.0213422222222
0.4;0.2255568;0.00304888888889;0.0132965432099
0.45;0.2261056;0.002744;-0.0271859259259
0.5;0.2261056;-0.00213422222222;-0.0278634567901
0.55;0.2255568;-0.00182933333333;0.00321827160494
0.6;0.2258312;0.000304888888889;0.00237135802469
0.65;0.2258312;-0.001372;-0.00237135802469
0.7;0.2255568;-0.000762222222222;0.00711407407407
0.75;0.2258312;-0.00121955555556;0.0284562962963
0.8;0.2252824;0.001372;0.0626716049383
0.85;0.2258312;0.00640266666667;0.0756293827161
0.9;0.2261056;0.00899422222222;0.0896881481481
0.95;0.2266544;0.0135675555556;0.13118691358
1;0.2272032;0.0224093333333;0.166672592593
1.05;0.2288496;0.0326231111111;0.162607407407
1.1;0.2307704;0.0381111111111;0.163962469136
1.15;0.2324168;0.0475626666667;0.186659753086
1.2;0.2354352;0.0583862222222;0.183610864198
1.25;0.2384536;0.0663133333333;0.173278518519
1.3;0.2420208;0.0748502222222;0.173363209877
1.35;0.2458624;0.0841493333333;0.166164444444
1.4;0.2505272;0.0920764444444;0.151682222222
1.45;0.255192;0.0980217777778;0.159304444444
1.5;0.2601312;0.107320888889;0.178190617284
1.55;0.2658936;0.117077333333;0.176920246914
1.6;0.2719304;0.125614222222;0.163877777778
1.65;0.278516;0.132779111111;0.160490123457
1.7;0.2851016;0.141620888889;0.159643209877
1.75;0.2927848;0.148785777778;0.15905037037
1.8;0.2999192;0.157017777778;0.166164444444
1.85;0.3084256;0.166164444444;0.159727901235
1.9;0.3166576;0.173176888889;0.150750617284
1.95;0.3257128;0.180799111111;0.148802716049
2;0.334768;0.187659111111;0.153968888889
2.05;0.344372;0.196500888889;0.154815802469
2.1;0.3545248;0.203513333333;0.148463950617
2.15;0.3646776;0.210983111111;0.151428148148
2.2;0.3756536;0.218605333333;0.155408641975
2.25;0.3866296;0.224855555556;0.177597777778
2.3;0.3976056;0.239337777778;0.137962222222
2.35;0.4110512;0.243911111111;0.00914666666667
2.4;0.422576;0.237813333333;-0.065297037037
2.45;0.434924;0.230191111111;0.00025407407407
2.5;0.4450768;0.232782666667;0.16421654321
2.55;0.4574248;0.250466222222;0.258308641975
2.6;0.4703216;0.265405777778;0.222314814815
2.65;0.484316;0.274247555556;0.146261975309
2.7;0.498036;0.276991555556;0.118229135802
2.75;0.511756;0.283699111111;0.136691851852
2.8;0.5262992;0.292083555556;0.138639753086
2.85;0.5411168;0.298181333333;0.137454074074
2.9;0.5562088;0.303821777778;0.168535802469
2.95;0.5713008;0.312968444444;0.224008641975
3;0.5869416;0.330956888889;0.192418765432
3.05;0.605052;0.337359555556;0.0714795061728
3.1;0.6212416;0.333548444444;0.02744
3.15;0.63798;0.335835111111;0.0658898765432
3.2;0.6547184;0.340560888889;0.111623209877
3.25;0.6720056;0.347268444444;0.152020987654
3.3;0.6892928;0.35672;0.166418518519
3.35;0.7076776;0.365866666667;0.14236617284
3.4;0.7260624;0.371659555556;0.105610123457
3.45;0.744996;0.374708444444;0.0984960493827
3.5;0.7633808;0.380044;0.118483209877
3.55;0.7828632;0.387818666667;0.119753580247
3.6;0.8023456;0.392696888889;0.108997777778
3.65;0.8221024;0.398032444444;0.107812098765
3.7;0.8421336;0.403368;0.109167160494
3.75;0.8624392;0.409008444444;0.108743703704
3.8;0.8830192;0.414496444444;0.1029
3.85;0.9038736;0.420136888889;0.0860464197531
3.9;0.9252768;0.421966222222;0.0894340740741
3.95;0.9458568;0.427301777778;0.123225925926
4;0.9678088;0.436143555556;0.127714567901
4.05;0.9897608;0.440564444444;0.122124938272
4.1;1.0117128;0.447424444444;0.12864617284
4.15;1.034488;0.454284444444;0.121193333333
4.2;1.0572632;0.459315111111;0.11746691358
4.25;1.0803128;0.465870222222;0.11577308642
4.3;1.1039112;0.471358222222;0.107896790123
4.35;1.1275096;0.475931555556;0.112724197531
4.4;1.1513824;0.482486666667;0.120346419753
4.45;1.175804;0.488432;0.120177037037
4.5;1.2002256;0.494377333333;0.121023950617
4.55;1.225196;0.500932444444;0.115857777778
4.6;1.2504408;0.505658222222;0.115942469136
4.65;1.2756856;0.511756;0.125936049383
4.7;1.3014792;0.519530666667;0.113672740741
4.75;1.3278216;0.524256444444;0.0828704938272
4.8;1.354164;0.526238222222;0.058267654321
