"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.05;0.3476648;-0.00518311111111;0.032928
0.1;0.3473904;-0.00396355555556;0.0412616296296
0.15;0.347116;-0.00155493333333;0.0475118518519
0.2;0.347116;0.00259155555556;0.0254751604938
0.25;0.3476648;0.00182933333333;-0.0102815308642
0.3;0.3473904;-0.000609777777778;-0.00980725925926
0.35;0.3473904;0.000152444444444;0.00381111111111
0.4;0.3473904;0.00121955555556;-0.00381111111111
0.45;0.3476648;0;-0.0157525925926
0.5;0.3473904;-0.00152444444444;-0.0071987654321
0.55;0.3473904;-0.000914666666667;0.0110098765432
0.6;0.3473904;-0.00106711111111;0.044717037037
0.65;0.347116;0.00228666666667;0.0998511111111
0.7;0.3473904;0.0100613333333;0.134066419753
0.75;0.3482136;0.0169213333333;0.14321308642
0.8;0.3490368;0.0245435555556;0.145415061728
0.85;0.3506832;0.0318608888889;0.141095802469
0.9;0.3523296;0.0376537777778;0.153968888889
0.95;0.3542504;0.0468004444444;0.174210123457
1;0.3569944;0.0564044444444;0.171245925926
1.05;0.3600128;0.0640266666667;0.163454320988
1.1;0.3633056;0.0728684444444;0.152105679012
1.15;0.3674216;0.0794235555556;0.140079506173
1.2;0.3712632;0.0858262222222;0.14922617284
1.25;0.375928;0.0937533333333;0.17065308642
1.3;0.3805928;0.102747555556;0.195637037037
1.35;0.3860808;0.114028444444;0.209695802469
1.4;0.3921176;0.123937333333;0.216640493827
1.45;0.3984288;0.134760888889;0.227480987654
1.5;0.4052888;0.149548;0.181493580247
1.55;0.4137952;0.156712888889;0.0679224691358
1.6;0.4214784;0.153664;0.00177851851852
1.65;0.4288872;0.153968888889;0.00457333333333
1.7;0.4371192;0.151529777778;0.0717335802469
1.75;0.4437048;0.156712888889;0.214438518519
1.8;0.4519368;0.176988;0.280921234568
1.85;0.4618152;0.191165333333;0.228412592593
1.9;0.4714192;0.19894;0.175395802469
1.95;0.481572;0.207324444444;0.143551851852
2;0.4922736;0.213269777778;0.122040246914
2.05;0.5029752;0.218148;0.130255308642
2.1;0.5139512;0.225465333333;0.155832098765
2.15;0.525476;0.233849777778;0.182425185185
2.2;0.5372752;0.244063555556;0.200125679012
2.25;0.5498976;0.254124888889;0.203682716049
2.3;0.56252;0.266320444444;0.168112345679
2.35;0.5767888;0.273332888889;0.0914666666667
2.4;0.5902344;0.273332888889;0.054710617284
2.45;0.6039544;0.275772;0.0760528395062
2.5;0.6176744;0.280650222222;0.110522222222
2.55;0.6319432;0.287662666667;0.132965432099
2.6;0.6464864;0.294370222222;0.14236617284
2.65;0.661304;0.302144888889;0.142027407407
2.7;0.6766704;0.310072;0.116281234568
2.75;0.6925856;0.313425777778;0.0976491358025
2.8;0.707952;0.317694222222;0.11534962963
2.85;0.7241416;0.325468888889;0.125681975309
2.9;0.7406056;0.331566666667;0.114502716049
2.95;0.757344;0.336902222222;0.102645925926
3;0.7743568;0.341018222222;0.105356049383
3.05;0.7913696;0.346658666667;0.121616790123
3.1;0.8089312;0.353823555556;0.124919753086
3.15;0.8267672;0.360531111111;0.103916296296
3.2;0.845152;0.364342222222;0.0805414814815
3.25;0.8632624;0.366933777778;0.0854535802469
3.3;0.8816472;0.372574222222;0.100443950617
3.35;0.9005808;0.377757333333;0.106287654321
3.4;0.9195144;0.381873333333;0.13161037037
3.45;0.938448;0.391324888889;0.14575382716
3.5;0.9587536;0.398794666667;0.118821975309
3.55;0.9785104;0.403063111111;0.0946002469136
3.6;0.9990904;0.406721777778;0.0971409876543
3.65;1.0191216;0.411447555556;0.122379012346
3.7;1.039976;0.420441777778;0.122717777778
3.75;1.0613792;0.425777333333;0.0900269135802
3.8;1.0827824;0.427454222222;0.0920595061728
3.85;1.1039112;0.432789777778;0.131525679012
3.9;1.1258632;0.441631555556;0.154222962963
3.95;1.1480896;0.450473333333;0.137030617284
4;1.1711392;0.455504;0.112639506173
4.05;1.19364;0.460077333333;0.114248641975
4.1;1.216964;0.467394666667;0.11145382716
4.15;1.2405624;0.471815555556;0.102561234568
4.2;1.2641608;0.476236444444;0.11789037037
4.25;1.2880336;0.483248888889;0.138809135802
4.3;1.3124552;0.491023555556;0.142959012346
4.35;1.3371512;0.498493333333;0.127799259259
4.4;1.362396;0.504133777778;0.105271358025
4.45;1.3876408;0.508249777778;0.0958706172839
4.5;1.41316;0.513280444444;0.0945155555556
4.55;1.4389536;0.518158666667;0.0868425185185
4.6;1.4650216;0.522274666667;0.0743590123457
4.65;1.491364;0.525018666667;0.0633491358024
