"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.025;1.8008872;-0.00609777777777;0.153799506173
0.05;1.8006128;-0.00121955555555;0.107388641975
0.075;1.8008872;0;0.0607745185184
0.1;1.8006128;0.000914666666666;0.0423456790123
0.125;1.8008872;0.00304888888889;-0.00914666666666
0.15;1.8008872;0.000609777777777;-0.0603002469135
0.175;1.8008872;-0.000914666666666;-0.0718182716049
0.2;1.8008872;-0.00396355555555;-0.0423456790123
0.225;1.8006128;-0.00396355555555;0.0193096296296
0.25;1.8006128;-0.00152444444444;0.0304888888888
0.275;1.8006128;-0.00121955555556;-0.000677530864271
0.3;1.8006128;-0.00304888888889;0.0135506172839
0.325;1.8003384;-0.000914666666668;0.0423456790124
0.35;1.8006128;0;0.0386192592593
0.375;1.8003384;0.000914666666668;0.0291338271605
0.4;1.8006128;0.002744;-0.0254074074074
0.425;1.8006128;-0.000304888888889;-0.0701244444445
0.45;1.8006128;-0.00335377777778;-0.0213422222222
0.475;1.8003384;-0.002744;0.0721570370371
0.5;1.8003384;0.002744;0.0779160493828
0.525;1.8006128;0.00365866666667;-0.0105017283951
0.55;1.8006128;0.000914666666668;-0.0582676543211
0.575;1.8006128;-0.000609777777779;-0.051153580247
0.6;1.8006128;-0.002744;-0.00338765432099
0.625;1.8003384;-0.000304888888889;0.0216809876544
0.65;1.8006128;0.00152444444445;-0.0724958024692
0.675;1.8006128;-0.00396355555556;-0.180900740741
0.7;1.8003384;-0.00792711111111;-0.287611851852
0.725;1.8003384;-0.0173786666667;-0.431925925926
0.75;1.7995152;-0.0292693333333;-0.596904691358
0.775;1.7989664;-0.0460382222222;-0.829297777778
0.8;1.79732;-0.0689048888889;-1.16128790123
0.825;1.7956736;-0.100308444444;-1.67756641975
0.85;1.7926552;-0.148785777778;-2.39642666667
0.875;1.7885392;-0.215556444444;-3.29855901235
0.9;1.7825024;-0.311596444444;-4.20577283951
0.925;1.7737216;-0.437515555556;-4.57367209877
0.95;1.7605504;-0.560690666667;-4.07568691358
0.975;1.7449096;-0.652157333333;-3.04922765432
1;1.727348;-0.71344;-1.93943209877
1.025;1.7086888;-0.746368;-0.961755061728
1.05;1.6894808;-0.7546;-0.299129876543
1.075;1.6708216;-0.753380444444;0.0155832098765
1.1;1.651888;-0.752160888889;0.195806419753
1.125;1.6329544;-0.742099555556;0.277110123457
1.15;1.614844;-0.734172444444;0.206308148148
1.175;1.5964592;-0.732952888889;0.164978765432
1.2;1.5780744;-0.728379555556;0.201904197531
1.225;1.559964;-0.721367111111;0.198855308642
1.25;1.542128;-0.718013333333;0.184627160494
1.275;1.5240176;-0.713135111111;0.200887901235
1.3;1.506456;-0.707952;0.221552592593
1.325;1.48862;-0.702159111111;0.247976296296
1.35;1.4713328;-0.695756444444;0.2744
1.375;1.4537712;-0.687524444444;0.268640987654
1.4;1.4370328;-0.681426666667;0.225279012346
1.425;1.4197456;-0.677463111111;0.21138962963
1.45;1.4030072;-0.669231111111;0.151089382716
1.475;1.3865432;-0.669536;0.0945155555555
1.5;1.3695304;-0.669231111111;0.198855308642
1.525;1.352792;-0.659474666667;0.30184
1.55;1.3366024;-0.650328;0.273722469136
1.575;1.3204128;-0.645754666667;0.224262716049
1.6;1.3042232;-0.639047111111;0.163962469136
1.625;1.2885824;-0.637217777778;0.10806617284
1.65;1.2723928;-0.635693333333;0.133134814815
1.675;1.256752;-0.632644444444;0.228666666667
1.7;1.2405624;-0.622583111111;0.267624691358
1.725;1.2257448;-0.616485333333;0.208001975309
1.75;1.2098296;-0.613436444444;0.184965925926
1.775;1.195012;-0.608558222222;0.202920493827
1.8;1.1793712;-0.603070222222;0.220875061728
1.825;1.164828;-0.596057777778;0.195806419753
1.85;1.149736;-0.594533333333;0.209018271605
1.875;1.1349184;-0.586911111111;0.262204444444
1.9;1.1203752;-0.578984;0.235780740741
1.925;1.1061064;-0.575020444444;0.197839012346
1.95;1.0915632;-0.570142222222;0.192757530864
1.975;1.0775688;-0.564044444444;0.155832098765
2;1.0635744;-0.564654222222;0.195128888889
2.025;1.0490312;-0.555202666667;0.259155555556
2.05;1.03586;-0.547580444444;0.187676049383
2.075;1.0218656;-0.546665777778;0.142620246914
2.1;1.00842;-0.542702222222;0.170737777778
2.125;0.9947;-0.537824;0.199194074074
2.15;0.9815288;-0.532336;0.217148641975
2.175;0.9680832;-0.526848;0.228327901235
2.2;0.9551864;-0.521055111111;0.239845925926
2.225;0.9420152;-0.514957333333;0.250008888889
2.25;0.9293928;-0.507335111111;0.217487407407
2.275;0.9167704;-0.503981333333;0.178868148148
2.3;0.904148;-0.499408;0.176158024691
2.325;0.8918;-0.494834666667;0.165995061728
2.35;0.879452;-0.491785777778;0.179884444444
2.375;0.867104;-0.485383111111;0.185304691358
2.4;0.8553048;-0.482334222222;0.184965925926
2.425;0.8429568;-0.478370666667;0.251363950617
2.45;0.8311576;-0.467089777778;0.231038024691
2.475;0.8199072;-0.465565333333;0.170737777778
2.5;0.8078336;-0.462211555556;0.218503703704
2.525;0.7965832;-0.453064888889;0.216132345679
2.55;0.7853328;-0.448491555556;0.132457283951
2.575;0.7743568;-0.450016;0.164301234568
2.6;0.7625576;-0.442698666667;0.272367407407
2.625;0.7521304;-0.432332444444;0.247637530864
2.65;0.7411544;-0.428673777778;0.16294617284
2.675;0.7307272;-0.426539555556;0.151428148148
2.7;0.7197512;-0.422271111111;0.190047407407
2.725;0.7095984;-0.416783111111;0.226295308642
2.75;0.6988968;-0.410685333333;0.247976296296
2.775;0.6890184;-0.403063111111;0.220875061728
2.8;0.6788656;-0.399709333333;0.196483950617
2.825;0.6689872;-0.394526222222;0.210373333333
2.85;0.6591088;-0.389038222222;0.217148641975
2.875;0.6495048;-0.381720888889;0.143297777778
2.9;0.6401752;-0.381416;0.0416681481481
2.925;0.6302968;-0.377757333333;-0.0867239506173
2.95;0.6217904;-0.389648;-0.0470883950617
2.975;0.61054;-0.390867555556;0.360785185185
3;0.6014848;-0.365561777778;0.560318024691
3.025;0.592704;-0.353671111111;0.429554567901
3.05;0.5839232;-0.345744;0.312680493827
3.075;0.5754168;-0.339951111111;0.248992592593
3.1;0.5669104;-0.334158222222;0.236797037037
3.125;0.5586784;-0.327145777778;0.207663209877
3.15;0.5507208;-0.325316444444;0.229682962963
3.175;0.5422144;-0.317084444444;0.29370962963
3.2;0.5348056;-0.307023111111;0.239845925926
3.225;0.5271224;-0.305193777778;0.18564345679
3.25;0.5194392;-0.300315555556;0.21138962963
3.275;0.5120304;-0.293303111111;0.200887901235
3.3;0.504896;-0.289949333333;0.184627160494
3.325;0.4974872;-0.285071111111;0.198855308642
3.35;0.4906272;-0.279888;0.212405925926
3.375;0.4834928;-0.2744;0.230021728395
3.4;0.4769072;-0.268607111111;0.255767901235
3.425;0.4700472;-0.262204444444;0.303195061728
3.45;0.463736;-0.253057777778;0.333006419753
3.475;0.4574248;-0.245130666667;0.338765432099
3.5;0.451388;-0.234764444444;0.30997037037
3.525;0.4459;-0.229886222222;0.278126419753
3.55;0.4398632;-0.225312888889;0.366205432099
3.575;0.4341008;-0.203665777778;0.176496790123
3.6;0.4305336;-0.212202666667;-0.159558518519
3.625;0.4233992;-0.219215111111;-0.213422222222
3.65;0.4195576;-0.225922666667;-0.111453827161
3.675;0.4121488;-0.231715555556;0.255429135802
3.7;0.4072096;-0.209763555556;0.489854814815
3.725;0.401996;-0.198787555556;0.412955061728
3.75;0.3973312;-0.189031111111;0.299129876543
3.775;0.3926664;-0.185372444444;0.221891358025
3.8;0.3880016;-0.179884444444;0.222907654321
3.825;0.3836112;-0.172872;0.190047407407
3.85;0.3794952;-0.170128;0.158542222222
3.875;0.3751048;-0.167384;0.212405925926
3.9;0.3709888;-0.159761777778;0.280159012346
3.925;0.3671472;-0.152444444444;0.309292839506
3.95;0.3633056;-0.143297777778;0.289983209877
3.975;0.3600128;-0.135675555556;0.188353580247
4;0.35672;-0.135065777778;0.126698271605
