"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.025;0.3048584;0.00609777777778;-0.148650271605
0.05;0.3051328;0.00121955555556;-0.0917038024691
0.075;0.3048584;0.000365866666667;-0.0304888888889
0.1;0.3051328;0.000304888888889;0.005488
0.125;0.3048584;0.000914666666667;0.0262204444444
0.15;0.3051328;0.00304888888889;-0.00989195061728
0.175;0.3051328;0.000609777777778;-0.0511535802469
0.2;0.3051328;-0.000609777777778;-0.0511535802469
0.225;0.3051328;-0.00304888888889;-0.00982419753086
0.25;0.3048584;-0.000914666666667;0.0267624691358
0.275;0.3051328;-0.000304888888889;0.010162962963
0.3;0.3048584;-0.000304888888889;-0.0132118518519
0.325;0.3051328;-0.000914666666667;-0.0406518518519
0.35;0.3048584;-0.00335377777778;-0.0315051851852
0.375;0.3048584;-0.00213422222222;-0.0298113580247
0.4;0.3048584;-0.00457333333333;-0.030827654321
0.425;0.304584;-0.00487822222222;0.010162962963
0.45;0.304584;-0.00426844444444;0.0572513580247
0.475;0.3043096;-0.00121955555556;0.0799486419753
0.5;0.304584;0.000304888888889;0.0724958024691
0.525;0.3043096;0.00182933333333;0.0731733333333
0.55;0.304584;0.00609777777778;3.29898627706E-016
0.575;0.3048584;0.00182933333333;-0.0728345679012
0.6;0.304584;0.000304888888889;-0.0704632098765
0.625;0.3048584;-0.00121955555556;-0.0701244444444
0.65;0.304584;-0.00396355555556;-0.0348928395062
0.675;0.304584;-0.00396355555556;0.0298113580247
0.7;0.3043096;-0.00121955555556;0.0494597530864
0.725;0.304584;-0.000304888888889;0.0223585185185
0.75;0.3043096;-0.000304888888889;0.000677530864197
0.775;0.304584;-0.000609777777778;-0.00745283950617
0.8;0.3043096;-0.00213422222222;0.0352316049383
0.825;0.3043096;0.00213422222222;0.0491209876543
0.85;0.304584;0.00121955555556;0.0257461728395
0.875;0.3043096;0.00213422222222;0.0298113580247
0.9;0.304584;0.005488;-0.0572513580247
0.925;0.3048584;-0.000304888888889;-0.142959012346
0.95;0.304584;-0.00640266666667;-0.0603002469136
0.975;0.3043096;-0.00457333333333;0.0728345679012
1;0.3043096;-0.000304888888889;0.120939259259
1.025;0.3043096;0.00365866666667;0.0816424691358
1.05;0.304584;0.00426844444444;0.0179545679012
1.075;0.304584;0.00243911111111;0.030827654321
1.1;0.304584;0.00487822222222;0.0870627160494
1.125;0.3048584;0.00701244444444;0.136522469136
1.15;0.3048584;0.0118906666667;0.169043950617
