"t";"m";"s";"T"
0 ; 0 ; 0 ; 39.06
0 ; 0 ; 2 ; 52.06
0 ; 0 ; 4 ; 62.06
0 ; 0 ; 6 ; 69.19
0 ; 0 ; 7 ; 74.50
0 ; 0 ; 9 ; 78.50
0 ; 0 ; 11 ; 81.50
0 ; 0 ; 13 ; 83.87
0 ; 0 ; 15 ; 85.62
0 ; 0 ; 16 ; 87.06
0 ; 0 ; 18 ; 88.19
0 ; 0 ; 20 ; 89.12
0 ; 0 ; 22 ; 89.81
0 ; 0 ; 23 ; 90.50
0 ; 0 ; 25 ; 91.00
0 ; 0 ; 27 ; 91.50
0 ; 0 ; 29 ; 91.94
0 ; 0 ; 31 ; 92.25
0 ; 0 ; 32 ; 92.56
0 ; 0 ; 34 ; 92.87
0 ; 0 ; 36 ; 93.12
0 ; 0 ; 38 ; 93.31
0 ; 0 ; 39 ; 93.50
0 ; 0 ; 41 ; 93.69
0 ; 0 ; 43 ; 93.81
0 ; 0 ; 45 ; 93.87
0 ; 0 ; 47 ; 94.00
0 ; 0 ; 48 ; 94.06
0 ; 0 ; 50 ; 94.25
0 ; 0 ; 52 ; 94.37
0 ; 0 ; 54 ; 94.44
0 ; 0 ; 56 ; 94.50
0 ; 0 ; 57 ; 94.62
0 ; 0 ; 59 ; 94.69
0 ; 1 ; 1 ; 94.62
0 ; 1 ; 3 ; 94.69
0 ; 1 ; 4 ; 94.75
0 ; 1 ; 6 ; 94.81
0 ; 1 ; 8 ; 94.87
0 ; 1 ; 10 ; 94.87
0 ; 1 ; 12 ; 94.87
0 ; 1 ; 13 ; 94.87
0 ; 1 ; 15 ; 94.87
0 ; 1 ; 17 ; 94.87
0 ; 1 ; 19 ; 94.87
0 ; 1 ; 20 ; 94.87
0 ; 1 ; 22 ; 94.87
0 ; 1 ; 24 ; 94.87
0 ; 1 ; 26 ; 94.87
0 ; 1 ; 28 ; 94.87
0 ; 1 ; 29 ; 94.81
0 ; 1 ; 31 ; 94.81
0 ; 1 ; 33 ; 94.81
0 ; 1 ; 35 ; 94.81
0 ; 1 ; 36 ; 94.75
0 ; 1 ; 38 ; 94.75
0 ; 1 ; 40 ; 94.69
0 ; 1 ; 42 ; 94.69
0 ; 1 ; 44 ; 94.62
0 ; 1 ; 45 ; 94.62
0 ; 1 ; 47 ; 94.62
0 ; 1 ; 49 ; 94.56
0 ; 1 ; 51 ; 94.56
0 ; 1 ; 52 ; 94.56
0 ; 1 ; 54 ; 94.50
0 ; 1 ; 56 ; 94.50
0 ; 1 ; 58 ; 94.50
0 ; 2 ; 0 ; 94.50
0 ; 2 ; 1 ; 94.44
0 ; 2 ; 3 ; 94.44
0 ; 2 ; 5 ; 94.44
0 ; 2 ; 7 ; 94.44
0 ; 2 ; 8 ; 94.44
0 ; 2 ; 10 ; 94.37
0 ; 2 ; 12 ; 94.37
0 ; 2 ; 14 ; 94.31
0 ; 2 ; 16 ; 94.31
0 ; 2 ; 17 ; 94.25
0 ; 2 ; 19 ; 94.25
0 ; 2 ; 21 ; 94.25
0 ; 2 ; 23 ; 94.19
0 ; 2 ; 25 ; 94.19
0 ; 2 ; 26 ; 94.19
0 ; 2 ; 28 ; 94.12
0 ; 2 ; 30 ; 94.12
0 ; 2 ; 32 ; 94.06
0 ; 2 ; 33 ; 94.06
0 ; 2 ; 35 ; 94.06
0 ; 2 ; 37 ; 94.00
0 ; 2 ; 39 ; 94.00
0 ; 2 ; 41 ; 94.00
0 ; 2 ; 42 ; 93.94
0 ; 2 ; 44 ; 93.94
0 ; 2 ; 46 ; 93.87
0 ; 2 ; 48 ; 93.87
0 ; 2 ; 49 ; 93.87
0 ; 2 ; 51 ; 93.81
0 ; 2 ; 53 ; 93.81
0 ; 2 ; 55 ; 93.81
0 ; 2 ; 57 ; 93.75
0 ; 2 ; 58 ; 93.75
0 ; 3 ; 0 ; 93.69
0 ; 3 ; 2 ; 93.69
0 ; 3 ; 4 ; 93.69
0 ; 3 ; 5 ; 93.69
0 ; 3 ; 7 ; 93.62
0 ; 3 ; 9 ; 93.62
0 ; 3 ; 11 ; 93.56
0 ; 3 ; 13 ; 93.56
0 ; 3 ; 14 ; 93.56
0 ; 3 ; 16 ; 93.56
0 ; 3 ; 18 ; 93.50
0 ; 3 ; 20 ; 93.50
0 ; 3 ; 21 ; 93.44
0 ; 3 ; 23 ; 93.44
0 ; 3 ; 25 ; 93.44
0 ; 3 ; 27 ; 93.44
0 ; 3 ; 29 ; 93.37
0 ; 3 ; 30 ; 93.37
0 ; 3 ; 32 ; 93.31
0 ; 3 ; 34 ; 93.31
0 ; 3 ; 36 ; 93.25
0 ; 3 ; 37 ; 93.25
0 ; 3 ; 39 ; 93.25
0 ; 3 ; 41 ; 93.19
0 ; 3 ; 43 ; 93.19
0 ; 3 ; 45 ; 93.19
0 ; 3 ; 46 ; 93.12
0 ; 3 ; 48 ; 93.12
0 ; 3 ; 50 ; 93.12
0 ; 3 ; 52 ; 93.06
0 ; 3 ; 54 ; 93.06
0 ; 3 ; 55 ; 93.06
0 ; 3 ; 57 ; 92.94
0 ; 3 ; 59 ; 92.69
0 ; 4 ; 1 ; 92.31
0 ; 4 ; 2 ; 92.00
0 ; 4 ; 4 ; 91.75
0 ; 4 ; 6 ; 91.50
0 ; 4 ; 8 ; 91.37
0 ; 4 ; 10 ; 91.25
0 ; 4 ; 11 ; 91.12
0 ; 4 ; 13 ; 91.06
0 ; 4 ; 15 ; 91.00
0 ; 4 ; 17 ; 90.94
0 ; 4 ; 18 ; 90.87
0 ; 4 ; 20 ; 90.81
0 ; 4 ; 22 ; 90.81
0 ; 4 ; 24 ; 90.75
0 ; 4 ; 26 ; 90.75
0 ; 4 ; 27 ; 90.69
0 ; 4 ; 29 ; 90.69
0 ; 4 ; 31 ; 90.62
0 ; 4 ; 33 ; 90.62
0 ; 4 ; 34 ; 90.56
0 ; 4 ; 36 ; 90.56
0 ; 4 ; 38 ; 90.56
0 ; 4 ; 40 ; 90.50
0 ; 4 ; 42 ; 90.50
0 ; 4 ; 43 ; 90.50
0 ; 4 ; 45 ; 90.44
0 ; 4 ; 47 ; 90.44
0 ; 4 ; 49 ; 90.37
0 ; 4 ; 50 ; 90.37
0 ; 4 ; 52 ; 90.31
0 ; 4 ; 54 ; 90.31
0 ; 4 ; 56 ; 90.31
0 ; 4 ; 58 ; 90.25
0 ; 4 ; 59 ; 90.25
0 ; 5 ; 1 ; 90.19
0 ; 5 ; 3 ; 90.19
0 ; 5 ; 5 ; 90.19
0 ; 5 ; 6 ; 90.12
0 ; 5 ; 8 ; 90.12
0 ; 5 ; 10 ; 90.06
0 ; 5 ; 12 ; 90.06
0 ; 5 ; 14 ; 90.06
0 ; 5 ; 15 ; 90.00
0 ; 5 ; 17 ; 90.00
0 ; 5 ; 19 ; 90.00
0 ; 5 ; 21 ; 89.94
0 ; 5 ; 22 ; 89.94
0 ; 5 ; 24 ; 89.87
0 ; 5 ; 26 ; 89.87
0 ; 5 ; 28 ; 89.81
0 ; 5 ; 30 ; 89.81
0 ; 5 ; 31 ; 89.75
0 ; 5 ; 33 ; 89.75
0 ; 5 ; 35 ; 89.75
0 ; 5 ; 37 ; 89.69
0 ; 5 ; 39 ; 89.69
0 ; 5 ; 40 ; 89.69
0 ; 5 ; 42 ; 89.62
0 ; 5 ; 44 ; 89.62
0 ; 5 ; 46 ; 89.56
0 ; 5 ; 47 ; 89.56
0 ; 5 ; 49 ; 89.50
0 ; 5 ; 51 ; 89.50
0 ; 5 ; 53 ; 89.50
0 ; 5 ; 55 ; 89.44
0 ; 5 ; 56 ; 89.44
0 ; 5 ; 58 ; 89.37
0 ; 6 ; 0 ; 89.37
0 ; 6 ; 2 ; 89.37
0 ; 6 ; 3 ; 89.31
0 ; 6 ; 5 ; 89.31
0 ; 6 ; 7 ; 89.31
0 ; 6 ; 9 ; 89.25
0 ; 6 ; 11 ; 89.25
0 ; 6 ; 12 ; 89.19
0 ; 6 ; 14 ; 89.19
0 ; 6 ; 16 ; 89.12
0 ; 6 ; 18 ; 89.12
0 ; 6 ; 19 ; 89.12
0 ; 6 ; 21 ; 89.06
0 ; 6 ; 23 ; 89.06
0 ; 6 ; 25 ; 89.06
0 ; 6 ; 27 ; 89.00
0 ; 6 ; 28 ; 89.00
0 ; 6 ; 30 ; 89.00
0 ; 6 ; 32 ; 88.94
0 ; 6 ; 34 ; 88.94
0 ; 6 ; 35 ; 88.87
0 ; 6 ; 37 ; 88.87
0 ; 6 ; 39 ; 88.87
0 ; 6 ; 41 ; 88.81
0 ; 6 ; 43 ; 88.81
0 ; 6 ; 44 ; 88.75
0 ; 6 ; 46 ; 88.75
0 ; 6 ; 48 ; 88.75
0 ; 6 ; 50 ; 88.69
0 ; 6 ; 51 ; 88.69
0 ; 6 ; 53 ; 88.69
0 ; 6 ; 55 ; 88.62
0 ; 6 ; 57 ; 88.62
0 ; 6 ; 59 ; 88.62
0 ; 7 ; 0 ; 88.56
0 ; 7 ; 2 ; 88.56
0 ; 7 ; 4 ; 88.50
0 ; 7 ; 6 ; 88.50
0 ; 7 ; 8 ; 88.50
0 ; 7 ; 9 ; 88.44
0 ; 7 ; 11 ; 88.44
0 ; 7 ; 13 ; 88.44
0 ; 7 ; 15 ; 88.37
0 ; 7 ; 16 ; 88.37
0 ; 7 ; 18 ; 88.31
0 ; 7 ; 20 ; 88.31
0 ; 7 ; 22 ; 88.25
0 ; 7 ; 24 ; 88.25
0 ; 7 ; 25 ; 88.25
0 ; 7 ; 27 ; 88.19
0 ; 7 ; 29 ; 88.19
0 ; 7 ; 31 ; 88.19
0 ; 7 ; 32 ; 88.12
0 ; 7 ; 34 ; 88.12
0 ; 7 ; 36 ; 88.12
0 ; 7 ; 38 ; 88.06
0 ; 7 ; 40 ; 88.06
0 ; 7 ; 41 ; 88.06
0 ; 7 ; 43 ; 88.00
0 ; 7 ; 45 ; 88.00
0 ; 7 ; 47 ; 87.94
0 ; 7 ; 48 ; 87.94
0 ; 7 ; 50 ; 87.94
0 ; 7 ; 52 ; 87.87
0 ; 7 ; 54 ; 87.87
0 ; 7 ; 56 ; 87.87
0 ; 7 ; 57 ; 87.81
0 ; 7 ; 59 ; 87.81
0 ; 8 ; 1 ; 87.81
0 ; 8 ; 3 ; 87.75
