"Tirada";"Interrupt";"t"
1;1;160
1;2;28896
1;3;49884
1;4;66640
1;5;81644
1;6;94740
2;1;80
2;2;24868
2;3;43892
2;4;59680
2;5;73792
2;6;79820
3;1;80
3;2;23824
3;3;42252
3;4;57756
3;5;71620
3;6;84040
4;1;116
4;2;540
4;3;964
4;4;1388
4;5;1856
5;1;80
5;2;28440
5;3;49156
5;4;65572
5;5;80488
5;6;92092
6;1;120
6;2;29324
6;3;51300
6;4;67960
6;5;84832
6;6;90164
7;1;116
7;2;25936
7;3;45692
7;4;61548
7;5;76536
7;6;89216
7;7;101704
7;8;112492
7;9;124516
7;10;134032
7;11;144472
7;12;153180
8;1;80
8;2;25504
8;3;45396
8;4;61144
8;5;76356
8;6;88900
8;7;101164
8;8;111856
8;9;123656
8;10;133112
8;11;143492
8;12;149020
9;1;44
9;2;22904
9;3;41796
9;4;56932
9;5;72092
9;6;84536
9;7;96496
9;8;107072
10;1;160
10;2;26048
10;3;45812
10;4;61632
10;5;76872
10;6;89500
10;7;101888
10;8;112632
10;9;124784
10;10;134412
11;1;164
11;2;21972
11;3;40532
11;4;55276
11;5;70572
11;6;77084
12;1;164
12;2;26888
12;3;47256
12;4;63388
12;5;78996
12;6;91892
12;7;104460
12;8;115396
13;1;80
13;2;25764
13;3;46016
13;4;61772
13;5;77364
13;6;90000
13;7;102212
13;8;113000
14;1;116
14;2;24824
14;3;45224
14;4;60700
14;5;76912
14;6;84184
15;1;84
15;2;26992
15;3;47888
15;4;63912
15;5;79624
15;6;92332
15;7;104592
15;8;115428
15;9;127328
15;10;136932
16;1;80
16;2;25004
16;3;44832
16;4;60472
16;5;75768
16;6;88312
16;7;100676
16;8;111356
16;9;123280
16;10;132716
17;1;120
17;2;25224
17;3;45216
17;4;61000
17;5;76616
17;6;89344
17;7;101528
17;8;112360
18;1;116
18;2;27412
18;3;48532
18;4;64760
18;5;18910832
18;6;18935672
18;7;18955680
18;8;18971332
18;9;18986908
18;10;18999536
18;11;19011680
18;12;19022412
18;13;19034188
18;14;19039800
19;1;76
19;2;27084
19;3;47972
19;4;64040
19;5;79908
19;6;92632
19;7;104896
19;8;115796
19;9;127672
19;10;136760
19;11;11417644
19;12;11441972
19;13;11461612
19;14;11477088
19;15;11492324
19;16;11504744
19;17;11516748
19;18;11527468
19;19;11539124
19;20;11548544
20;1;80
20;2;23876
20;3;43132
20;4;58600
20;5;73988
20;6;86400
20;7;98040
20;8;105740
21;1;248
21;2;28800
21;3;49436
21;4;66148
21;5;81208
21;6;94268
21;7;106960
21;8;117960
21;9;130048
21;10;139608
21;11;150048
21;12;158716
22;1;160
22;2;23628
22;3;42496
22;4;58036
22;5;72400
22;6;84768
22;7;96988
22;8;107480
22;9;119216
22;10;128444
22;11;138584
22;12;146932
23;1;116
23;2;29460
23;3;50808
23;4;67416
23;5;82828
23;6;95624
23;7;108312
23;8;119068
23;9;131184
23;10;140500
23;11;151212
23;12;161056
24;1;80
24;2;23316
24;3;42016
24;4;57256
24;5;71532
24;6;83760
24;7;95900
24;8;106300
24;9;117980
24;10;127084
24;11;137252
24;12;145420
25;1;120
25;2;24500
25;3;43484
25;4;59120
25;5;73348
25;6;85720
25;7;98136
25;8;108628
25;9;120344
25;10;129356
25;11;139816
25;12;149760
26;1;248
26;2;33992
26;3;56504
26;4;73644
26;5;89432
26;6;102528
26;7;115460
26;8;126484
26;9;138720
26;10;148300
26;11;158796
26;12;167332
27;1;196
27;2;27832
27;3;48236
27;4;64620
27;5;79536
27;6;92272
27;7;104804
27;8;115556
27;9;127476
27;10;136796
27;11;147164
27;12;155492
28;1;120
28;2;24188
28;3;43184
28;4;58564
28;5;72956
28;6;85152
28;7;97440
28;8;107792
28;9;119636
28;10;128760
28;11;139724
28;12;148308
29;1;80
29;2;21856
29;3;39684
29;4;54572
29;5;68384
29;6;80368
29;7;92552
29;8;102912
29;9;114444
29;10;123480
30;1;156
30;2;27716
30;3;48496
30;4;64632
30;5;79876
30;6;92476
30;7;105292
30;8;115900
30;9;128108
30;10;137400
30;11;148264
30;12;156860
31;1;160
31;2;26648
31;3;46732
31;4;62744
31;5;77728
31;6;90260
31;7;102900
31;8;113428
31;9;125560
31;10;135044
31;11;145984
31;12;154648
32;1;204
32;2;26036
32;3;45908
32;4;61760
32;5;76536
32;6;88800
32;7;101108
32;8;111456
32;9;123464
32;10;134828
32;11;147672
32;12;158204
33;1;124
33;2;26164
34;1;164
34;2;29020
34;3;49496
34;4;66124
34;5;80612
34;6;86072
35;1;200
35;2;672
35;3;952
35;4;41728
35;5;64372
35;6;81808
35;7;97608
35;8;110820
35;9;124040
35;10;135172
35;11;147476
35;12;157128
35;13;168412
35;14;169008
36;1;232
36;2;32084
36;3;53924
36;4;70988
36;5;86392
36;6;99488
36;7;112288
36;8;123236
36;9;135352
36;10;144864
36;11;155328
36;12;163868
37;1;252
37;2;32696
37;3;54344
37;4;71476
37;5;86664
37;6;99808
37;7;112928
37;8;123864
37;9;136068
37;10;145528
37;11;156192
37;12;164704
38;1;80
38;2;24152
38;3;42936
38;4;58448
38;5;72656
38;6;84956
38;7;97460
38;8;107888
39;1;160
39;2;29344
39;3;50540
39;4;67124
39;5;82392
39;6;95308
39;7;107940
39;8;118852
39;9;131164
39;10;141252
39;11;151828
39;12;160620
40;1;0
41;1;48
41;2;18016
41;3;33208
41;4;46436
42;1;164
42;2;21904
42;3;39548
42;4;54384
42;5;68088
42;6;80032
42;7;92068
42;8;102384
42;9;113796
42;10;122796
43;1;80
43;2;24588
43;3;44000
43;4;59488
43;5;74116
43;6;86436
43;7;98904
43;8;109468
43;9;121136
43;10;130432
43;11;140984
43;12;141956
44;1;80
44;2;24112
44;3;42976
44;4;58448
44;5;72768
44;6;85076
44;7;97448
44;8;108012
44;9;119708
44;10;128900
44;11;139160
44;12;147484
45;1;120
45;2;26028
45;3;46096
45;4;61940
45;5;76960
45;6;89424
45;7;101992
45;8;112544
45;9;124588
45;10;133820
45;11;144244
45;12;152592
46;1;88
46;2;26304
46;3;46096
46;4;62048
46;5;76612
46;6;78852
47;1;236
47;2;29884
47;3;50620
47;4;67216
47;5;82176
47;6;94860
47;7;107744
47;8;118424
47;9;131880
47;10;142104
47;11;153556
47;12;162764
48;1;116
48;2;25432
48;3;45208
48;4;60932
48;5;75696
48;6;87900
48;7;100832
48;8;115160
48;9;131504
48;10;143988
48;11;156808
48;12;164704
49;1;116
49;2;24532
49;3;43620
49;4;59124
49;5;73568
49;6;85868
49;7;98528
49;8;109064
50;1;120
50;2;26704
50;3;46792
50;4;62880
50;5;77692
50;6;90352
50;7;102904
50;8;113800
50;9;125536
50;10;135156
50;11;145680
50;12;154440
51;1;48
51;2;23416
51;3;41996
51;4;57252
51;5;71444
51;6;83592
51;7;96124
51;8;106504
51;9;118888
51;10;128468
52;1;160
52;2;24740
52;3;44660
52;4;60640
52;5;75520
52;6;88088
52;7;100640
52;8;111288
52;9;123212
52;10;132660
52;11;142792
52;12;151200
53;1;132
53;2;32044
53;3;56252
53;4;73736
53;5;88452
53;6;100144
53;7;112080
53;8;122192
53;9;133648
53;10;142716
53;11;152676
53;12;160884
54;1;120
54;2;28292
54;3;49232
54;4;65720
54;5;81104
54;6;93960
54;7;106696
54;8;117600
54;9;129700
54;10;139252
55;1;124
55;2;23660
55;3;42552
55;4;57828
55;5;72400
55;6;84612
55;7;96808
55;8;107264
55;9;119012
55;10;128156
55;11;138408
55;12;146676
56;1;120
56;2;27936
56;3;48524
56;4;64780
56;5;80088
56;6;92788
56;7;105548
56;8;116304
56;9;128476
56;10;138704
56;11;150432
56;12;160016
57;1;52
57;2;24860
57;3;44344
57;4;59932
57;5;74628
57;6;86920
57;7;99220
57;8;109660
57;9;121516
57;10;131204
57;11;142088
57;12;150840
58;1;240
58;2;30192
58;3;51784
58;4;68720
58;5;84092
58;6;97184
58;7;109988
58;8;120984
58;9;133096
58;10;142628
58;11;153068
58;12;161692
59;1;120
59;2;25700
59;3;45444
59;4;61268
59;5;76020
59;6;88520
59;7;100968
59;8;111584
59;9;123484
59;10;132824
59;11;143088
59;12;151372
60;1;200
60;2;37148
60;3;59808
60;4;77700
60;5;93200
60;6;106696
60;7;119736
60;8;131036
60;9;143080
60;10;152752
60;11;163164
60;12;171568
61;1;244
61;2;32784
61;3;55072
61;4;72168
61;5;87864
61;6;100996
61;7;113936
61;8;124960
61;9;137128
61;10;146724
61;11;157172
61;12;165752
62;1;200
62;2;31148
62;3;52624
62;4;69516
62;5;84792
62;6;97848
62;7;110684
62;8;121680
62;9;133628
62;10;143212
62;11;153528
62;12;162136
63;1;192
63;2;28096
63;3;48612
63;4;65020
63;5;79988
63;6;92812
63;7;105372
63;8;116168
63;9;128092
63;10;137484
63;11;147792
63;12;156264
64;1;80
64;2;25328
64;3;44788
64;4;60532
64;5;75176
64;6;87668
64;7;100044
64;8;110688
64;9;122520
64;10;131884
64;11;142088
64;12;150440
65;1;244
65;2;29280
65;3;50160
65;4;66596
65;5;81744
65;6;94552
65;7;107192
65;8;118008
65;9;130008
65;10;139452
65;11;149780
65;12;158328
66;1;240
66;2;35016
66;3;57940
66;4;75220
66;5;91740
66;6;106660
66;7;121336
66;8;131876
66;9;143456
66;10;152200
66;11;162640
66;12;171084
67;1;172
67;2;28044
67;3;48584
67;4;64864
67;5;80164
67;6;92868
67;7;105496
67;8;116248
67;9;128324
67;10;137692
67;11;148140
67;12;156692
68;1;164
68;2;23264
68;3;41592
68;4;56776
68;5;70924
68;6;83200
68;7;95308
68;8;105760
68;9;117448
68;10;126620
68;11;136788
68;12;145092
69;1;164
69;2;28712
69;3;49556
69;4;65960
69;5;81116
69;6;93904
69;7;106668
69;8;117380
69;9;129532
69;10;138796
69;11;149492
69;12;158492
70;1;76
70;2;22868
70;3;41244
70;4;56272
70;5;70476
70;6;82520
70;7;94664
70;8;104868
70;9;116876
70;10;126464
70;11;137296
70;12;145972
71;1;84
71;2;23692
71;3;42324
71;4;57508
71;5;71640
71;6;83636
71;7;96616
71;8;107664
71;9;120268
71;10;130036
72;1;192
72;2;25208
72;3;44176
72;4;59964
72;5;74200
72;6;86628
72;7;99016
72;8;109664
72;9;121336
72;10;130620
72;11;140844
72;12;149204
73;1;80
73;2;22372
73;3;40272
73;4;55324
73;5;69096
73;6;81184
74;1;120
74;2;22764
74;3;41252
74;4;56352
74;5;70732
74;6;82796
74;7;94848
74;8;105224
74;9;116856
74;10;126084
74;11;136104
74;12;144288
75;1;168
75;2;26420
75;3;46368
75;4;62372
75;5;77100
75;6;89632
75;7;102156
75;8;112756
75;9;124672
75;10;134120
76;1;80
76;2;23288
76;3;41856
76;4;57076
76;5;71392
76;6;83608
76;7;95776
76;8;106148
76;9;117904
76;10;126948
76;11;137840
76;12;146844
77;1;116
77;2;27660
77;3;47936
77;4;64144
77;5;78960
77;6;91472
77;7;104152
77;8;115012
77;9;128056
77;10;138036
77;11;149240
77;12;158216
78;1;132
78;2;24840
78;3;44320
78;4;60044
78;5;74744
78;6;87284
78;7;99624
78;8;110312
78;9;122084
78;10;131372
78;11;141660
78;12;150052
79;1;124
79;2;25036
79;3;44272
79;4;59856
79;5;74260
