"Tirada";"Interrupt";"t"
1;1;0
1;2;19448
1;3;33700
1;4;48332
1;5;60372
1;6;72728
1;7;82848
1;8;93564
1;9;103628
1;10;113288
1;11;122056
1;12;130884
2;1;0
2;2;24044
2;3;40320
2;4;56660
2;5;69788
2;6;83056
2;7;93896
2;8;105260
2;9;115860
2;10;125984
2;11;135152
2;12;144588
3;1;0
3;2;22196
3;3;37568
3;4;53200
3;5;65940
3;6;78836
3;7;89740
3;8;102216
4;1;0
4;2;19268
4;3;33244
4;4;47772
4;5;59716
4;6;71964
4;7;82020
4;8;92712
4;9;103096
4;10;113248
4;11;122404
4;12;132032
5;1;0
5;2;26620
5;3;43468
5;4;60696
5;5;73828
5;6;87524
5;7;98536
5;8;110264
5;9;120968
5;10;131440
5;11;140676
5;12;150152
6;1;0
6;2;23600
6;3;39344
6;4;55588
6;5;68412
6;6;81596
6;7;92272
6;8;103596
6;9;114100
6;10;124188
6;11;133300
6;12;142392
7;1;0
7;2;24664
7;3;41196
7;4;57764
7;5;70932
7;6;84312
7;7;94988
7;8;106460
7;9;116980
7;10;127104
7;11;136224
7;12;145300
8;1;0
8;2;27212
8;3;44348
8;4;61536
8;5;75088
8;6;88828
8;7;99872
8;8;111572
8;9;122316
8;10;131300
9;1;0
9;2;24652
9;3;41388
9;4;57872
9;5;71272
9;6;84588
9;7;95364
9;8;106832
9;9;117368
9;10;127552
9;11;136724
9;12;146136
10;1;0
10;2;26224
10;3;43152
10;4;60200
10;5;73724
10;6;87476
10;7;98512
10;8;110204
10;9;120932
10;10;131396
11;1;0
11;2;26924
11;3;44100
11;4;61248
11;5;74580
11;6;88224
11;7;99308
11;8;110980
11;9;121780
11;10;132132
11;11;141476
11;12;150848
12;1;0
12;2;28896
12;3;46684
12;4;64344
12;5;77800
12;6;91560
12;7;102724
12;8;114552
12;9;125352
12;10;135684
12;11;144964
12;12;154272
13;1;0
13;2;27812
13;3;45492
13;4;62828
13;5;76548
13;6;90336
13;7;101424
13;8;113144
13;9;123936
13;10;134284
13;11;143592
13;12;153460
14;1;0
14;2;27184
14;3;44128
14;4;61444
14;5;74648
14;6;88372
14;7;99440
14;8;111152
14;9;121884
14;10;132208
14;11;141468
14;12;150756
15;1;0
15;2;26028
15;3;43416
15;4;60236
15;5;73916
15;6;87396
15;7;98248
15;8;109780
15;9;120432
15;10;130620
15;11;139824
15;12;148988
16;1;0
16;2;25144
16;3;42296
16;4;58872
16;5;72584
16;6;85920
16;7;96580
16;8;108076
16;9;118608
