"Tirada";"Interrupt";"t"
1;1;0
1;2;19540
1;3;34452
1;4;49008
1;5;61428
1;6;73592
1;7;84052
1;8;94652
1;9;105000
1;10;114508
1;11;123552
1;12;132264
2;1;0
2;2;19904
2;3;34964
2;4;49904
2;5;62804
2;6;75364
2;7;85624
2;8;96668
2;9;107012
2;10;108532
3;1;0
3;2;24456
3;3;40680
3;4;57052
3;5;69972
3;6;83232
3;7;94124
3;8;105568
3;9;116228
3;10;126384
3;11;135592
3;12;144772
4;1;0
4;2;22308
4;3;37744
4;4;53492
4;5;66088
4;6;78936
4;7;89496
4;8;100688
4;9;111032
4;10;120988
4;11;129988
4;12;138968
5;1;0
5;2;24152
5;3;40568
5;4;56896
5;5;70240
5;6;83680
5;7;94268
5;8;105728
5;9;116076
5;10;124476
6;1;0
6;2;22780
6;3;38552
6;4;54444
6;5;67208
6;6;80196
6;7;90684
6;8;101944
6;9;112276
6;10;122288
6;11;131200
6;12;140224
7;1;0
7;2;23636
7;3;39776
7;4;55964
7;5;68936
7;6;82160
7;7;92784
7;8;104064
7;9;114560
7;10;124580
7;11;133652
7;12;142740
8;1;0
8;2;27720
8;3;45720
8;4;62960
8;5;77052
8;6;90776
8;7;101600
8;8;113308
8;9;123924
8;10;134204
8;11;143416
8;12;152776
9;1;0
9;2;25940
9;3;42628
9;4;59492
9;5;72400
9;6;85880
9;7;96856
9;8;108476
9;9;119036
9;10;129412
9;11;138392
9;12;147552
10;1;0
10;2;22596
10;3;38356
10;4;54172
10;5;67132
10;6;80160
10;7;90636
10;8;101860
10;9;112148
10;10;122160
10;11;131168
10;12;140220
11;1;0
11;2;20208
11;3;34624
11;4;49560
11;5;61752
11;6;74284
11;7;84476
11;8;95356
11;9;105436
11;10;115172
11;11;123988
11;12;132932
11;13;135592
12;1;0
12;2;23920
12;3;40176
12;4;56416
12;5;69480
12;6;82708
12;7;93396
12;8;104720
12;9;115256
12;10;125316
12;11;134464
12;12;143688
13;1;0
13;2;25400
13;3;42044
13;4;58772
13;5;71880
13;6;85268
13;7;96192
13;8;107716
13;9;118316
13;10;128544
13;11;137708
13;12;146824
14;1;0
14;2;21192
14;3;36244
14;4;51580
14;5;64000
14;6;76700
14;7;86988
14;8;97972
14;9;108148
14;10;117988
14;11;126856
14;12;135756
15;1;0
15;2;21380
15;3;36408
15;4;51880
15;5;64352
15;6;77248
15;7;87680
15;8;98764
15;9;109052
15;10;119004
15;11;127992
15;12;135804
16;1;0
16;2;25232
16;3;42084
16;4;58700
16;5;72004
16;6;85432
16;7;96216
16;8;107692
16;9;118284
16;10;128428
16;11;137556
16;12;146672
17;1;0
17;2;17728
17;3;31344
17;4;45180
17;5;57072
17;6;68944
17;7;78492
17;8;88984
17;9;98656
17;10;108064
17;11;116632
17;12;125300
18;1;0
18;2;20100
18;3;34328
18;4;49260
18;5;61032
18;6;73456
18;7;83628
18;8;94556
18;9;104636
18;10;114336
18;11;123080
18;12;131796
19;1;0
19;2;22300
19;3;37580
19;4;53340
19;5;65784
19;6;78648
19;7;89204
19;8;100360
19;9;110712
19;10;120644
19;11;129648
19;12;138648
19;13;264940
19;14;293720
20;1;0
20;2;20548
20;3;35392
20;4;50444
20;5;62828
20;6;75372
20;7;85604
20;8;96452
20;9;106624
20;10;116332
20;11;125172
20;12;133968
21;1;0
21;2;21888
21;3;36860
21;4;52420
21;5;64528
21;6;77308
21;7;87756
21;8;98948
21;9;109288
21;10;119148
21;11;128144
21;12;137124
22;1;0
22;2;21836
22;3;37320
22;4;52812
22;5;65516
22;6;78364
22;7;88832
22;8;99840
22;9;110180
22;10;120036
22;11;129012
22;12;138064
23;1;0
23;2;20552
23;3;35216
23;4;50276
23;5;62556
23;6;75120
23;7;85380
23;8;96268
23;9;106432
23;10;116188
23;11;125060
23;12;133916
24;1;0
24;2;23472
24;3;39940
24;4;55936
24;5;69288
24;6;82316
24;7;92912
24;8;104120
24;9;114584
24;10;124568
24;11;133640
24;12;142648
25;1;0
25;2;21164
25;3;35884
25;4;51316
25;5;63528
25;6;76264
25;7;86660
25;8;97796
25;9;108048
25;10;120380
25;11;132624
25;12;144748
26;1;0
26;2;20080
26;3;35260
26;4;49968
26;5;62928
26;6;75272
26;7;85360
26;8;96152
26;9;106268
26;10;115924
27;1;0
27;2;23660
27;3;39868
27;4;56004
27;5;69032
27;6;82072
27;7;92976
27;8;104244
27;9;114884
27;10;124860
27;11;134076
27;12;143156
28;1;0
28;2;20648
28;3;35652
28;4;50700
28;5;63092
28;6;75504
28;7;85972
28;8;96800
28;9;107056
28;10;116772
28;11;125728
28;12;134504
29;1;0
29;2;20480
29;3;35576
29;4;50524
29;5;63064
29;6;75476
29;7;85836
29;8;96624
29;9;106884
29;10;116548
29;11;125456
29;12;134208
30;1;0
30;2;18988
30;3;33508
30;4;47812
30;5;60444
30;6;72512
30;7;82432
30;8;93028
30;9;103012
30;10;112508
30;11;121424
30;12;129900
31;1;0
31;2;21836
31;3;37368
31;4;52812
31;5;65412
31;6;78056
31;7;88676
31;8;99656
31;9;110048
31;10;119892
31;11;128936
31;12;137768
32;1;0
32;2;20248
32;3;35060
32;4;49936
32;5;62340
32;6;74668
32;7;85052
32;8;95852
32;9;106100
32;10;115752
32;11;124672
32;12;133420
33;1;0
33;2;22140
33;3;38068
33;4;53628
33;5;66816
33;6;79744
33;7;90304
33;8;101412
33;9;111872
33;10;121276
34;1;0
34;2;25456
34;3;42856
34;4;59412
34;5;72988
34;6;86280
34;7;97248
34;8;108564
34;9;119196
34;10;129276
34;11;138520
34;12;147532
35;1;0
35;2;23196
35;3;39672
35;4;55508
35;5;68856
35;6;81868
35;7;92576
35;8;103712
35;9;114220
35;10;124148
35;11;133292
35;12;142524
36;1;0
36;2;20564
36;3;35660
36;4;50648
36;5;63424
36;6;75996
36;7;86440
36;8;97392
36;9;107724
36;10;117236
37;1;0
37;2;21128
37;3;36240
37;4;51488
37;5;64032
37;6;76620
37;7;87232
37;8;98160
37;9;108600
37;10;118336
37;11;127424
37;12;136316
38;1;0
38;2;19516
38;3;33968
38;4;48516
38;5;60736
38;6;72912
38;7;83188
38;8;93872
38;9;104092
38;10;113680
38;11;122584
38;12;131336
38;13;133840
39;1;0
39;2;16844
39;3;29940
39;4;43212
39;5;54656
39;6;66084
39;7;75800
39;8;85912
39;9;95716
39;10;105024
39;11;113892
39;12;122456
40;1;0
40;2;21516
40;3;36996
40;4;52364
40;5;65052
40;6;77684
40;7;88372
40;8;99304
40;9;109780
40;10;119520
40;11;128612
40;12;137492
40;13;285284
40;14;287800
41;1;0
41;2;22692
41;3;39116
41;4;54748
41;5;68296
41;6;81224
41;7;91868
41;8;102992
41;9;113468
41;10;123192
42;1;0
42;2;20928
42;3;36248
42;4;51332
42;5;63948
42;6;76412
42;7;86964
42;8;97792
42;9;108188
42;10;117876
42;11;126912
42;12;135672
43;1;0
43;2;22136
43;3;37888
43;4;53416
43;5;66112
43;6;78776
43;7;89520
43;8;100528
43;9;111036
43;10;120884
43;11;130044
43;12;138932
44;1;0
44;2;22624
44;3;38412
44;4;54136
44;5;66872
44;6;79644
44;7;90560
44;8;101624
44;9;112280
44;10;122188
44;11;131376
44;12;140300
45;1;0
45;2;26044
45;3;43448
45;4;60268
45;5;74076
45;6;87656
45;7;99036
45;8;110780
45;9;121784
45;10;125232
