"Tirada";"Interrupt";"t"
1;1;156
1;2;26724
1;3;46068
1;4;62172
1;5;76596
1;6;89456
1;7;101768
1;8;112652
1;9;124364
1;10;134108
1;11;145136
1;12;154608
2;1;172
2;2;34788
2;3;56544
2;4;74032
2;5;89328
2;6;102860
2;7;115592
2;8;126872
2;9;138944
2;10;148976
2;11;160344
2;12;170040
3;1;156
3;2;35832
3;3;57820
3;4;75328
3;5;90496
3;6;103868
3;7;116628
3;8;127792
3;9;139684
3;10;149448
3;11;159684
3;12;168428
4;1;160
4;2;33676
4;3;55332
4;4;72644
4;5;88000
4;6;101324
4;7;114044
4;8;125192
4;9;137256
4;10;146948
4;11;157304
4;12;166108
5;1;192
5;2;32812
5;3;54672
5;4;71748
5;5;87360
5;6;100516
5;7;113224
5;8;124252
5;9;136252
5;10;148628
5;11;162844
5;12;168748
6;1;172
6;2;34888
6;3;57260
6;4;74640
6;5;90268
6;6;103544
6;7;116264
6;8;127440
6;9;139488
6;10;149288
6;11;159532
6;12;168232
7;1;164
7;2;536
7;3;37376
7;4;59768
7;5;77504
7;6;93024
7;7;106544
7;8;119312
7;9;130644
7;10;142720
7;11;152528
7;12;162864
7;13;171680
8;1;196
8;2;28336
8;3;48180
8;4;64688
8;5;79236
8;6;92244
8;7;104700
8;8;115680
8;9;127516
8;10;137136
8;11;147356
8;12;156084
9;1;168
9;2;32704
9;3;54420
9;4;71516
9;5;87004
9;6;100204
9;7;112856
9;8;123948
9;9;135948
9;10;145612
9;11;155932
9;12;164696
10;1;204
10;2;484
10;3;36840
10;4;59104
10;5;76744
10;6;92148
10;7;105620
10;8;118352
10;9;129584
10;10;141540
10;11;151436
10;12;161620
10;13;170368
11;1;244
11;2;35948
11;3;58052
11;4;75636
11;5;91020
11;6;104456
11;7;117220
11;8;128456
11;9;140500
11;10;150296
11;11;160572
11;12;169380
12;1;244
12;2;29380
12;3;49528
12;4;66208
12;5;80756
12;6;93796
12;7;106248
12;8;117280
12;9;129036
12;10;138756
12;11;149020
12;12;157804
13;1;208
13;2;28016
13;3;47820
13;4;64268
13;5;78836
13;6;91784
13;7;104232
13;8;115120
13;9;126892
13;10;136488
13;11;146620
13;12;155240
14;1;240
14;2;29148
14;3;49560
14;4;66152
14;5;81064
14;6;93984
14;7;106440
14;8;117408
14;9;129280
14;10;138876
14;11;149060
14;12;157668
15;1;204
15;2;29460
15;3;50040
15;4;66700
15;5;81624
15;6;94628
15;7;107100
15;8;118124
15;9;129976
15;10;139568
15;11;149776
15;12;158412
16;1;192
16;2;27252
16;3;47004
16;4;63244
16;5;77860
16;6;90676
16;7;103092
16;8;113944
16;9;125784
16;10;135256
16;11;145516
16;12;154092
17;1;236
17;2;27332
17;3;46776
17;4;63116
17;5;77604
17;6;90528
17;7;102868
17;8;113792
17;9;125552
17;10;135108
17;11;145300
17;12;153956
18;1;204
18;2;652
18;3;1096
18;4;1620
18;5;2140
18;6;2664
18;7;4276
18;8;18808
18;9;28208
19;1;196
19;2;672
19;3;41956
19;4;65180
19;5;83144
19;6;99136
19;7;112820
19;8;125716
19;9;137064
19;10;149556
19;11;159716
19;12;170392
19;13;179472
20;1;236
20;2;31516
20;3;52612
20;4;69564
20;5;84684
20;6;97812
20;7;110396
20;8;121452
20;9;133324
20;10;143008
20;11;153220
20;12;162492
21;1;236
21;2;33284
21;3;54604
21;4;71852
21;5;86984
21;6;100316
21;7;112912
21;8;124052
21;9;136684
21;10;147012
21;11;157928
21;12;167120
22;1;240
22;2;29180
22;3;113492
22;4;114156
22;5;116296
22;6;127980
22;7;137648
22;8;147764
22;9;156444
23;1;204
23;2;760
23;3;631504
23;4;632168
23;5;632828
23;6;633488
23;7;634148
23;8;636600
24;1;236
24;2;28020
24;3;47508
24;4;64004
24;5;78584
24;6;91728
24;7;104160
24;8;115280
24;9;127200
24;10;137032
24;11;147492
24;12;156752
25;1;236
25;2;30500
25;3;50948
25;4;67836
25;5;82648
25;6;95844
25;7;108544
25;8;119680
25;9;131704
25;10;141436
25;11;151784
25;12;160768
26;1;236
26;2;30732
26;3;51832
26;4;68580
26;5;83848
26;6;96744
26;7;109016
26;8;119904
26;9;131628
26;10;141076
26;11;151568
26;12;161100
27;1;204
27;2;492
27;3;30928
27;4;51912
27;5;68748
27;6;83992
27;7;97052
27;8;109508
27;9;120560
27;10;132456
27;11;142076
27;12;152288
27;13;160964
28;1;236
28;2;704
28;3;1092
28;4;42836
28;5;66052
28;6;84080
28;7;99952
28;8;113612
28;9;126596
28;10;137908
28;11;151644
28;12;162960
28;13;174808
28;14;184720
29;1;156
29;2;23896
29;3;42512
29;4;57596
29;5;71684
29;6;83824
29;7;95364
29;8;106508
29;9;120704
29;10;132112
29;11;144108
29;12;154456
30;1;236
30;2;28028
30;3;48060
30;4;64240
30;5;79100
30;6;92208
30;7;105036
30;8;117928
30;9;132792
30;10;144616
30;11;157004
30;12;167412
31;1;236
31;2;588
31;3;38716
31;4;60964
31;5;78828
31;6;94288
31;7;107960
31;8;120848
31;9;132860
31;10;147020
31;11;160084
31;12;173736
31;13;185056
32;1;196
32;2;27920
32;3;47684
32;4;64080
32;5;78592
32;6;91472
32;7;103932
32;8;114800
32;9;126536
32;10;136184
32;11;146216
32;12;154856
33;1;160
33;2;26344
33;3;45684
33;4;61712
33;5;76216
33;6;88964
33;7;101264
33;8;112068
33;9;123836
33;10;133284
33;11;143440
33;12;152040
34;1;232
34;2;504
34;3;37468
34;4;59940
34;5;77640
34;6;93412
34;7;106896
34;8;119768
34;9;130972
34;10;143128
34;11;153564
34;12;164808
34;13;174248
35;1;204
35;2;27996
35;3;47944
35;4;64364
35;5;79016
35;6;91924
35;7;104368
35;8;115284
35;9;127092
35;10;136672
35;11;146836
35;12;155444
36;1;160
36;2;26652
36;3;46168
36;4;62244
36;5;76756
36;6;89508
36;7;101752
36;8;112572
36;9;124248
36;10;133748
36;11;143764
36;12;152400
37;1;196
37;2;28260
37;3;48388
37;4;64800
37;5;79612
37;6;92516
37;7;104952
37;8;115840
37;9;127664
37;10;137236
37;11;147416
37;12;156016
38;1;236
38;2;30904
38;3;51908
38;4;68772
38;5;83972
38;6;97060
38;7;109724
38;8;120728
38;9;132736
38;10;143244
38;11;154860
38;12;164536
39;1;200
39;2;26284
39;3;45948
39;4;61852
39;5;76576
39;6;89200
39;7;101560
39;8;112292
39;9;124144
39;10;133496
39;11;143716
39;12;152236
40;1;200
40;2;32236
40;3;53916
40;4;70876
40;5;86384
